Timestamp(ms),Theta,Beta,FocusRatio
1780913000204,0.370239,0.100157,0.270521
1780913000220,0.370413,0.100287,0.270744
1780913000236,0.370413,0.100287,0.270744
1780913000252,0.370413,0.100287,0.270744
1780913000268,0.370052,0.100024,0.270297
1780913000284,0.370239,0.100157,0.270521
1780913000300,0.370413,0.100287,0.270744
1780913000316,0.370052,0.100024,0.270297
1780913000332,0.370413,0.100287,0.270744
1780913000348,0.370052,0.100024,0.270297
1780913000364,0.370239,0.100157,0.270521
1780913000380,0.370413,0.100287,0.270744
1780913000396,0.370052,0.100024,0.270297
1780913000412,0.370239,0.100157,0.270521
1780913000428,0.370413,0.100287,0.270744
1780913000444,0.370239,0.100157,0.270521
1780913000460,0.370239,0.100157,0.270521
1780913000476,0.370414,0.100289,0.270749
1780913000492,0.370239,0.100159,0.270525
1780913000508,0.370414,0.100289,0.270749
1780913000524,0.370414,0.100289,0.270749
1780913000540,0.370414,0.100289,0.270749
1780913000556,0.370239,0.100159,0.270525
1780913000571,0.370414,0.100289,0.270749
1780913000587,0.370414,0.100289,0.270749
1780913000603,0.370239,0.100159,0.270525
1780913000619,0.370414,0.100289,0.270749
1780913000635,0.370053,0.100026,0.270302
1780913000651,0.370053,0.100026,0.270302
1780913000667,0.370414,0.100289,0.270749
1780913000683,0.370414,0.100289,0.270749
1780913000699,0.370414,0.100289,0.270749
1780913000715,0.370414,0.100289,0.270749
1780913000731,0.370414,0.100289,0.270749
1780913000747,0.370239,0.100159,0.270525
1780913000763,0.370239,0.100159,0.270525
1780913000779,0.370239,0.100159,0.270525
1780913000795,0.370414,0.100289,0.270749
1780913000811,0.370239,0.100159,0.270525
1780913000826,0.370239,0.100159,0.270525
1780913000842,0.370239,0.100159,0.270525
1780913000858,0.370239,0.100159,0.270525
1780913000873,0.370239,0.100159,0.270525
1780913000889,0.370239,0.100159,0.270525
1780913000905,0.370239,0.100159,0.270525
1780913000921,0.370239,0.100159,0.270525
1780913000937,0.370414,0.100289,0.270749
1780913000953,0.370414,0.100289,0.270749
1780913000970,0.370053,0.100026,0.270302
1780913000985,0.370239,0.100159,0.270525
1780913001001,0.370414,0.100289,0.270749
1780913001016,0.370413,0.100291,0.270754
1780913001031,0.370238,0.100161,0.27053
1780913001047,0.370413,0.100291,0.270754
1780913001063,0.370052,0.100027,0.270307
1780913001079,0.370238,0.100161,0.27053
1780913001095,0.370413,0.100291,0.270754
1780913001111,0.370238,0.100161,0.27053
1780913001126,0.370413,0.100291,0.270754
1780913001141,0.370413,0.100291,0.270754
1780913001157,0.370238,0.100161,0.27053
1780913001173,0.370413,0.100291,0.270754
1780913001189,0.370413,0.100291,0.270754
1780913001205,0.370052,0.100027,0.270307
1780913001221,0.370413,0.100291,0.270754
1780913001237,0.370238,0.100161,0.27053
1780913001253,0.370413,0.100291,0.270754
1780913001269,0.370238,0.100161,0.27053
