Timestamp(ms),Theta,Beta,FocusRatio
1780913587519,0.366966,0.101049,0.275364
1780913587535,0.366966,0.101049,0.275364
1780913587551,0.366966,0.101049,0.275364
1780913587566,0.366966,0.101049,0.275364
1780913587582,0.366966,0.101049,0.275364
1780913587598,0.367126,0.101178,0.275594
1780913587614,0.366966,0.101049,0.275364
1780913587629,0.366966,0.101049,0.275364
1780913587644,0.366966,0.101049,0.275364
1780913587660,0.366966,0.101049,0.275364
1780913587676,0.366966,0.101049,0.275364
1780913587692,0.367126,0.101178,0.275594
1780913587708,0.366966,0.101049,0.275364
1780913587724,0.366966,0.101049,0.275364
1780913587740,0.366966,0.101049,0.275364
1780913587756,0.367126,0.101178,0.275594
1780913587772,0.367126,0.101178,0.275594
1780913587787,0.36679,0.100917,0.275135
1780913587802,0.366966,0.101049,0.275364
1780913587818,0.367126,0.101178,0.275594
1780913587834,0.367126,0.101178,0.275594
1780913587850,0.366966,0.101049,0.275364
1780913587866,0.366966,0.101049,0.275364
1780913587882,0.367126,0.101178,0.275594
1780913587898,0.36679,0.100917,0.275135
1780913587914,0.367126,0.101178,0.275594
1780913587929,0.367126,0.101178,0.275594
1780913587945,0.366966,0.101049,0.275364
1780913587961,0.366966,0.101049,0.275364
1780913587977,0.366966,0.101049,0.275364
1780913587993,0.366966,0.101049,0.275364
1780913588009,0.367107,0.101234,0.275762
1780913588025,0.367107,0.101234,0.275762
1780913588041,0.366948,0.101107,0.275535
1780913588057,0.366948,0.101107,0.275535
1780913588073,0.367107,0.101234,0.275762
1780913588089,0.367107,0.101234,0.275762
1780913588104,0.366948,0.101107,0.275535
1780913588120,0.367107,0.101234,0.275762
1780913588136,0.366771,0.100975,0.275308
1780913588152,0.367107,0.101234,0.275762
1780913588168,0.367107,0.101234,0.275762
1780913588184,0.366948,0.101107,0.275535
1780913588200,0.366948,0.101107,0.275535
1780913588216,0.367107,0.101234,0.275762
1780913588232,0.366771,0.100975,0.275308
1780913588248,0.367107,0.101234,0.275762
